Rack,Shelf,Full Label
"A",1,"A1"
"A",2,"A2"
"A",3,"A3"
"A",4,"A4"
"A",5,"A5"
"A",6,"A6"
"A",7,"A7"
"A",8,"A8"
"A",9,"A9"
"A",10,"A10"
"A",11,"A11"
"A",12,"A12"
"A",13,"A13"
"A",14,"A14"
"A",15,"A15"
"A",16,"A16"
"A",17,"A17"
"A",18,"A18"
"A",19,"A19"
"A",20,"A20"
"A",21,"A21"
"A",22,"A22"
"A",23,"A23"
"A",24,"A24"
"A",25,"A25"
"A",26,"A26"
"A",27,"A27"
"A",28,"A28"
"B",1,"B1"
"B",2,"B2"
"B",3,"B3"
"B",4,"B4"
"B",5,"B5"
"B",6,"B6"
"B",7,"B7"
"B",8,"B8"
"B",9,"B9"
"B",10,"B10"
"B",11,"B11"
"B",12,"B12"
"B",13,"B13"
"B",14,"B14"
"B",15,"B15"
"B",16,"B16"
"B",17,"B17"
"B",18,"B18"
"B",19,"B19"
"B",20,"B20"
"B",21,"B21"
"B",22,"B22"
"B",23,"B23"
"B",24,"B24"
"B",25,"B25"
"B",26,"B26"
"B",27,"B27"
"B",28,"B28"
"C",1,"C1"
"C",2,"C2"
"C",3,"C3"
"C",4,"C4"
"C",5,"C5"
"C",6,"C6"
"C",7,"C7"
"C",8,"C8"
"C",9,"C9"
"C",10,"C10"
"C",11,"C11"
"C",12,"C12"
"C",13,"C13"
"C",14,"C14"
"C",15,"C15"
"C",16,"C16"
"C",17,"C17"
"C",18,"C18"
"C",19,"C19"
"C",20,"C20"
"C",21,"C21"
"C",22,"C22"
"C",23,"C23"
"C",24,"C24"
"C",25,"C25"
"C",26,"C26"
"C",27,"C27"
"C",28,"C28"
"D",1,"D1"
"D",2,"D2"
"D",3,"D3"
"D",4,"D4"
"D",5,"D5"
"D",6,"D6"
"D",7,"D7"
"D",8,"D8"
"D",9,"D9"
"D",10,"D10"
"D",11,"D11"
"D",12,"D12"
"D",13,"D13"
"D",14,"D14"
"D",15,"D15"
"D",16,"D16"
"D",17,"D17"
"D",18,"D18"
"D",19,"D19"
"D",20,"D20"
"D",21,"D21"
"D",22,"D22"
"D",23,"D23"
"D",24,"D24"
"D",25,"D25"
"D",26,"D26"
"D",27,"D27"
"D",28,"D28"
"E",1,"E1"
"E",2,"E2"
"E",3,"E3"
"E",4,"E4"
"E",5,"E5"
"E",6,"E6"
"E",7,"E7"
"E",8,"E8"
"E",9,"E9"
"E",10,"E10"
"E",11,"E11"
"E",12,"E12"
"E",13,"E13"
"E",14,"E14"
"E",15,"E15"
"E",16,"E16"
"E",17,"E17"
"E",18,"E18"
"E",19,"E19"
"E",20,"E20"
"E",21,"E21"
"E",22,"E22"
"E",23,"E23"
"E",24,"E24"
"E",25,"E25"
"E",26,"E26"
"E",27,"E27"
"E",28,"E28"
"F",1,"F1"
"F",2,"F2"
"F",3,"F3"
"F",4,"F4"
"F",5,"F5"
"F",6,"F6"
"F",7,"F7"
"F",8,"F8"
"F",9,"F9"
"F",10,"F10"
"F",11,"F11"
"F",12,"F12"
"F",13,"F13"
"F",14,"F14"
"F",15,"F15"
"F",16,"F16"
"F",17,"F17"
"F",18,"F18"
"F",19,"F19"
"F",20,"F20"
"F",21,"F21"
"F",22,"F22"
"F",23,"F23"
"F",24,"F24"
"F",25,"F25"
"F",26,"F26"
"F",27,"F27"
"F",28,"F28"
"G",1,"G1"
"G",2,"G2"
"G",3,"G3"
"G",4,"G4"
"G",5,"G5"
"G",6,"G6"
"G",7,"G7"
"G",8,"G8"
"G",9,"G9"
"G",10,"G10"
"G",11,"G11"
"G",12,"G12"
"G",13,"G13"
"G",14,"G14"
"G",15,"G15"
"G",16,"G16"
"G",17,"G17"
"G",18,"G18"
"G",19,"G19"
"G",20,"G20"
"G",21,"G21"
"G",22,"G22"
"G",23,"G23"
"G",24,"G24"
"G",25,"G25"
"G",26,"G26"
"G",27,"G27"
"G",28,"G28"
"H",1,"H1"
"H",2,"H2"
"H",3,"H3"
"H",4,"H4"
"H",5,"H5"
"H",6,"H6"
"H",7,"H7"
"H",8,"H8"
"H",9,"H9"
"H",10,"H10"
"H",11,"H11"
"H",12,"H12"
"H",13,"H13"
"H",14,"H14"
"H",15,"H15"
"H",16,"H16"
"H",17,"H17"
"H",18,"H18"
"H",19,"H19"
"H",20,"H20"
"H",21,"H21"
"H",22,"H22"
"H",23,"H23"
"H",24,"H24"
"H",25,"H25"
"H",26,"H26"
"H",27,"H27"
"H",28,"H28"
"I",1,"I1"
"I",2,"I2"
"I",3,"I3"
"I",4,"I4"
"I",5,"I5"
"I",6,"I6"
"I",7,"I7"
"I",8,"I8"
"I",9,"I9"
"I",10,"I10"
"I",11,"I11"
"I",12,"I12"
"I",13,"I13"
"I",14,"I14"
"I",15,"I15"
"I",16,"I16"
"I",17,"I17"
"I",18,"I18"
"I",19,"I19"
"I",20,"I20"
"I",21,"I21"
"I",22,"I22"
"I",23,"I23"
"I",24,"I24"
"I",25,"I25"
"I",26,"I26"
"I",27,"I27"
"I",28,"I28"
"J",1,"J1"
"J",2,"J2"
"J",3,"J3"
"J",4,"J4"
"J",5,"J5"
"J",6,"J6"
"J",7,"J7"
"J",8,"J8"
"J",9,"J9"
"J",10,"J10"
"J",11,"J11"
"J",12,"J12"
"J",13,"J13"
"J",14,"J14"
"J",15,"J15"
"J",16,"J16"
"J",17,"J17"
"J",18,"J18"
"J",19,"J19"
"J",20,"J20"
"J",21,"J21"
"J",22,"J22"
"J",23,"J23"
"J",24,"J24"
"J",25,"J25"
"J",26,"J26"
"J",27,"J27"
"J",28,"J28"
"K",1,"K1"
"K",2,"K2"
"K",3,"K3"
"K",4,"K4"
"K",5,"K5"
"K",6,"K6"
"K",7,"K7"
"K",8,"K8"
"K",9,"K9"
"K",10,"K10"
"K",11,"K11"
"K",12,"K12"
"K",13,"K13"
"K",14,"K14"
"K",15,"K15"
"K",16,"K16"
"K",17,"K17"
"K",18,"K18"
"K",19,"K19"
"K",20,"K20"
"K",21,"K21"
"K",22,"K22"
"K",23,"K23"
"K",24,"K24"
"K",25,"K25"
"K",26,"K26"
"K",27,"K27"
"K",28,"K28"
"L",1,"L1"
"L",2,"L2"
"L",3,"L3"
"L",4,"L4"
"L",5,"L5"
"L",6,"L6"
"L",7,"L7"
"L",8,"L8"
"L",9,"L9"
"L",10,"L10"
"L",11,"L11"
"L",12,"L12"
"L",13,"L13"
"L",14,"L14"
"L",15,"L15"
"L",16,"L16"
"L",17,"L17"
"L",18,"L18"
"L",19,"L19"
"L",20,"L20"
"L",21,"L21"
"L",22,"L22"
"L",23,"L23"
"L",24,"L24"
"L",25,"L25"
"L",26,"L26"
"L",27,"L27"
"L",28,"L28"
"M",1,"M1"
"M",2,"M2"
"M",3,"M3"
"M",4,"M4"
"M",5,"M5"
"M",6,"M6"
"M",7,"M7"
"M",8,"M8"
"M",9,"M9"
"M",10,"M10"
"M",11,"M11"
"M",12,"M12"
"M",13,"M13"
"M",14,"M14"
"M",15,"M15"
"M",16,"M16"
"M",17,"M17"
"M",18,"M18"
"M",19,"M19"
"M",20,"M20"
"M",21,"M21"
"M",22,"M22"
"M",23,"M23"
"M",24,"M24"
"M",25,"M25"
"M",26,"M26"
"M",27,"M27"
"M",28,"M28"
"N",1,"N1"
"N",2,"N2"
"N",3,"N3"
"N",4,"N4"
"N",5,"N5"
"N",6,"N6"
"N",7,"N7"
"N",8,"N8"
"N",9,"N9"
"N",10,"N10"
"N",11,"N11"
"N",12,"N12"
"N",13,"N13"
"N",14,"N14"
"N",15,"N15"
"N",16,"N16"
"N",17,"N17"
"N",18,"N18"
"N",19,"N19"
"N",20,"N20"
"N",21,"N21"
"N",22,"N22"
"N",23,"N23"
"N",24,"N24"
"N",25,"N25"
"N",26,"N26"
"N",27,"N27"
"N",28,"N28"
"O",1,"O1"
"O",2,"O2"
"O",3,"O3"
"O",4,"O4"
"O",5,"O5"
"O",6,"O6"
"O",7,"O7"
"O",8,"O8"
"O",9,"O9"
"O",10,"O10"
"O",11,"O11"
"O",12,"O12"
"O",13,"O13"
"O",14,"O14"
"O",15,"O15"
"O",16,"O16"
"O",17,"O17"
"O",18,"O18"
"O",19,"O19"
"O",20,"O20"
"O",21,"O21"
"O",22,"O22"
"O",23,"O23"
"O",24,"O24"
"O",25,"O25"
"O",26,"O26"
"O",27,"O27"
"O",28,"O28"
"P",1,"P1"
"P",2,"P2"
"P",3,"P3"
"P",4,"P4"
"P",5,"P5"
"P",6,"P6"
"P",7,"P7"
"P",8,"P8"
"P",9,"P9"
"P",10,"P10"
"P",11,"P11"
"P",12,"P12"
"P",13,"P13"
"P",14,"P14"
"P",15,"P15"
"P",16,"P16"
"P",17,"P17"
"P",18,"P18"
"P",19,"P19"
"P",20,"P20"
"P",21,"P21"
"P",22,"P22"
"P",23,"P23"
"P",24,"P24"
"P",25,"P25"
"P",26,"P26"
"P",27,"P27"
"P",28,"P28"
"Q",1,"Q1"
"Q",2,"Q2"
"Q",3,"Q3"
"Q",4,"Q4"
"Q",5,"Q5"
"Q",6,"Q6"
"Q",7,"Q7"
"Q",8,"Q8"
"Q",9,"Q9"
"Q",10,"Q10"
"Q",11,"Q11"
"Q",12,"Q12"
"Q",13,"Q13"
"Q",14,"Q14"
"Q",15,"Q15"
"Q",16,"Q16"
"Q",17,"Q17"
"Q",18,"Q18"
"Q",19,"Q19"
"Q",20,"Q20"
"Q",21,"Q21"
"Q",22,"Q22"
"Q",23,"Q23"
"Q",24,"Q24"
"Q",25,"Q25"
"Q",26,"Q26"
"Q",27,"Q27"
"Q",28,"Q28"
"R",1,"R1"
"R",2,"R2"
"R",3,"R3"
"R",4,"R4"
"R",5,"R5"
"R",6,"R6"
"R",7,"R7"
"R",8,"R8"
"R",9,"R9"
"R",10,"R10"
"R",11,"R11"
"R",12,"R12"
"R",13,"R13"
"R",14,"R14"
"R",15,"R15"
"R",16,"R16"
"R",17,"R17"
"R",18,"R18"
"R",19,"R19"
"R",20,"R20"
"R",21,"R21"
"R",22,"R22"
"R",23,"R23"
"R",24,"R24"
"R",25,"R25"
"R",26,"R26"
"R",27,"R27"
"R",28,"R28"
"S",1,"S1"
"S",2,"S2"
"S",3,"S3"
"S",4,"S4"
"S",5,"S5"
"S",6,"S6"
"S",7,"S7"
"S",8,"S8"
"S",9,"S9"
"S",10,"S10"
"S",11,"S11"
"S",12,"S12"
"S",13,"S13"
"S",14,"S14"
"S",15,"S15"
"S",16,"S16"
"S",17,"S17"
"S",18,"S18"
"S",19,"S19"
"S",20,"S20"
"S",21,"S21"
"S",22,"S22"
"S",23,"S23"
"S",24,"S24"
"S",25,"S25"
"S",26,"S26"
"S",27,"S27"
"S",28,"S28"
"T",1,"T1"
"T",2,"T2"
"T",3,"T3"
"T",4,"T4"
"T",5,"T5"
"T",6,"T6"
"T",7,"T7"
"T",8,"T8"
"T",9,"T9"
"T",10,"T10"
"T",11,"T11"
"T",12,"T12"
"T",13,"T13"
"T",14,"T14"
"T",15,"T15"
"T",16,"T16"
"T",17,"T17"
"T",18,"T18"
"T",19,"T19"
"T",20,"T20"
"T",21,"T21"
"T",22,"T22"
"T",23,"T23"
"T",24,"T24"
"T",25,"T25"
"T",26,"T26"
"T",27,"T27"
"T",28,"T28"
"U",1,"U1"
"U",2,"U2"
"U",3,"U3"
"U",4,"U4"
"U",5,"U5"
"U",6,"U6"
"U",7,"U7"
"U",8,"U8"
"U",9,"U9"
"U",10,"U10"
"U",11,"U11"
"U",12,"U12"
"U",13,"U13"
"U",14,"U14"
"U",15,"U15"
"U",16,"U16"
"U",17,"U17"
"U",18,"U18"
"U",19,"U19"
"U",20,"U20"
"U",21,"U21"
"U",22,"U22"
"U",23,"U23"
"U",24,"U24"
"U",25,"U25"
"U",26,"U26"
"U",27,"U27"
"U",28,"U28"
"V",1,"V1"
"V",2,"V2"
"V",3,"V3"
"V",4,"V4"
"V",5,"V5"
"V",6,"V6"
"V",7,"V7"
"V",8,"V8"
"V",9,"V9"
"V",10,"V10"
"V",11,"V11"
"V",12,"V12"
"V",13,"V13"
"V",14,"V14"
"V",15,"V15"
"V",16,"V16"
"V",17,"V17"
"V",18,"V18"
"V",19,"V19"
"V",20,"V20"
"V",21,"V21"
"V",22,"V22"
"V",23,"V23"
"V",24,"V24"
"V",25,"V25"
"V",26,"V26"
"V",27,"V27"
"V",28,"V28"
"W",1,"W1"
"W",2,"W2"
"W",3,"W3"
"W",4,"W4"
"W",5,"W5"
"W",6,"W6"
"W",7,"W7"
"W",8,"W8"
"W",9,"W9"
"W",10,"W10"
"W",11,"W11"
"W",12,"W12"
"W",13,"W13"
"W",14,"W14"
"W",15,"W15"
"W",16,"W16"
"W",17,"W17"
"W",18,"W18"
"W",19,"W19"
"W",20,"W20"
"W",21,"W21"
"W",22,"W22"
"W",23,"W23"
"W",24,"W24"
"W",25,"W25"
"W",26,"W26"
"W",27,"W27"
"W",28,"W28"
"X",1,"X1"
"X",2,"X2"
"X",3,"X3"
"X",4,"X4"
"X",5,"X5"
"X",6,"X6"
"X",7,"X7"
"X",8,"X8"
"X",9,"X9"
"X",10,"X10"
"X",11,"X11"
"X",12,"X12"
"X",13,"X13"
"X",14,"X14"
"X",15,"X15"
"X",16,"X16"
"X",17,"X17"
"X",18,"X18"
"X",19,"X19"
"X",20,"X20"
"X",21,"X21"
"X",22,"X22"
"X",23,"X23"
"X",24,"X24"
"X",25,"X25"
"X",26,"X26"
"X",27,"X27"
"X",28,"X28"
"Y",1,"Y1"
"Y",2,"Y2"
"Y",3,"Y3"
"Y",4,"Y4"
"Y",5,"Y5"
"Y",6,"Y6"
"Y",7,"Y7"
"Y",8,"Y8"
"Y",9,"Y9"
"Y",10,"Y10"
"Y",11,"Y11"
"Y",12,"Y12"
"Y",13,"Y13"
"Y",14,"Y14"
"Y",15,"Y15"
"Y",16,"Y16"
"Y",17,"Y17"
"Y",18,"Y18"
"Y",19,"Y19"
"Y",20,"Y20"
"Y",21,"Y21"
"Y",22,"Y22"
"Y",23,"Y23"
"Y",24,"Y24"
"Y",25,"Y25"
"Y",26,"Y26"
"Y",27,"Y27"
"Y",28,"Y28"
"Z",1,"Z1"
"Z",2,"Z2"
"Z",3,"Z3"
"Z",4,"Z4"
"Z",5,"Z5"
"Z",6,"Z6"
"Z",7,"Z7"
"Z",8,"Z8"
"Z",9,"Z9"
"Z",10,"Z10"
"Z",11,"Z11"
"Z",12,"Z12"
"Z",13,"Z13"
"Z",14,"Z14"
"Z",15,"Z15"
"Z",16,"Z16"
"Z",17,"Z17"
"Z",18,"Z18"
"Z",19,"Z19"
"Z",20,"Z20"
"Z",21,"Z21"
"Z",22,"Z22"
"Z",23,"Z23"
"Z",24,"Z24"
"Z",25,"Z25"
"Z",26,"Z26"
"Z",27,"Z27"
"Z",28,"Z28"
"AA",1,"AA1"
"AA",2,"AA2"
"AA",3,"AA3"
"AA",4,"AA4"
"AA",5,"AA5"
"AA",6,"AA6"
"AA",7,"AA7"
"AA",8,"AA8"
"AA",9,"AA9"
"AA",10,"AA10"
"AA",11,"AA11"
"AA",12,"AA12"
"AA",13,"AA13"
"AA",14,"AA14"
"AA",15,"AA15"
"AA",16,"AA16"
"AA",17,"AA17"
"AA",18,"AA18"
"AA",19,"AA19"
"AA",20,"AA20"
"AA",21,"AA21"
"AA",22,"AA22"
"AA",23,"AA23"
"AA",24,"AA24"
"AA",25,"AA25"
"AA",26,"AA26"
"AA",27,"AA27"
"AA",28,"AA28"
"AA",29,"AA29"
"AA",30,"AA30"
"AA",31,"AA31"
"AA",32,"AA32"
"AA",33,"AA33"
"AA",34,"AA34"
"AA",35,"AA35"
"AA",36,"AA36"
"AA",37,"AA37"
"AA",38,"AA38"
"AA",39,"AA39"
"AA",40,"AA40"
"AA",41,"AA41"
"AA",42,"AA42"
"AB",1,"AB1"
"AB",2,"AB2"
"AB",3,"AB3"
"AB",4,"AB4"
"AB",5,"AB5"
"AB",6,"AB6"
"AB",7,"AB7"
"AB",8,"AB8"
"AB",9,"AB9"
"AB",10,"AB10"
"AB",11,"AB11"
"AB",12,"AB12"
"AB",13,"AB13"
"AB",14,"AB14"
"AB",15,"AB15"
"AB",16,"AB16"
"AB",17,"AB17"
"AB",18,"AB18"
"AB",19,"AB19"
"AB",20,"AB20"
"AB",21,"AB21"
"AB",22,"AB22"
"AB",23,"AB23"
"AB",24,"AB24"
"AB",25,"AB25"
"AB",26,"AB26"
"AB",27,"AB27"
"AB",28,"AB28"
"AB",29,"AB29"
"AB",30,"AB30"
"AB",31,"AB31"
"AB",32,"AB32"
"AB",33,"AB33"
"AB",34,"AB34"
"AB",35,"AB35"
"AB",36,"AB36"
"AB",37,"AB37"
"AB",38,"AB38"
"AB",39,"AB39"
"AB",40,"AB40"
"AB",41,"AB41"
"AB",42,"AB42"
"AC",1,"AC1"
"AC",2,"AC2"
"AC",3,"AC3"
"AC",4,"AC4"
"AC",5,"AC5"
"AC",6,"AC6"
"AC",7,"AC7"
"AC",8,"AC8"
"AC",9,"AC9"
"AC",10,"AC10"
"AC",11,"AC11"
"AC",12,"AC12"
"AC",13,"AC13"
"AC",14,"AC14"
"AC",15,"AC15"
"AC",16,"AC16"
"AC",17,"AC17"
"AC",18,"AC18"
"AC",19,"AC19"
"AC",20,"AC20"
"AC",21,"AC21"
"AC",22,"AC22"
"AC",23,"AC23"
"AC",24,"AC24"
"AC",25,"AC25"
"AC",26,"AC26"
"AC",27,"AC27"
"AC",28,"AC28"
"AC",29,"AC29"
"AC",30,"AC30"
"AC",31,"AC31"
"AC",32,"AC32"
"AC",33,"AC33"
"AC",34,"AC34"
"AC",35,"AC35"
"AC",36,"AC36"
"AC",37,"AC37"
"AC",38,"AC38"
"AC",39,"AC39"
"AC",40,"AC40"
"AC",41,"AC41"
"AC",42,"AC42"
"AD",1,"AD1"
"AD",2,"AD2"
"AD",3,"AD3"
"AD",4,"AD4"
"AD",5,"AD5"
"AD",6,"AD6"
"AD",7,"AD7"
"AD",8,"AD8"
"AD",9,"AD9"
"AD",10,"AD10"
"AD",11,"AD11"
"AD",12,"AD12"
"AD",13,"AD13"
"AD",14,"AD14"
"AD",15,"AD15"
"AD",16,"AD16"
"AD",17,"AD17"
"AD",18,"AD18"
"AD",19,"AD19"
"AD",20,"AD20"
"AD",21,"AD21"
"AD",22,"AD22"
"AD",23,"AD23"
"AD",24,"AD24"
"AD",25,"AD25"
"AD",26,"AD26"
"AD",27,"AD27"
"AD",28,"AD28"
"AD",29,"AD29"
"AD",30,"AD30"
"AD",31,"AD31"
"AD",32,"AD32"
"AD",33,"AD33"
"AD",34,"AD34"
"AD",35,"AD35"
"AD",36,"AD36"
"AD",37,"AD37"
"AD",38,"AD38"
"AD",39,"AD39"
"AD",40,"AD40"
"AD",41,"AD41"
"AD",42,"AD42"
"AE",1,"AE1"
"AE",2,"AE2"
"AE",3,"AE3"
"AE",4,"AE4"
"AE",5,"AE5"
"AE",6,"AE6"
"AE",7,"AE7"
"AE",8,"AE8"
"AE",9,"AE9"
"AE",10,"AE10"
"AE",11,"AE11"
"AE",12,"AE12"
"AE",13,"AE13"
"AE",14,"AE14"
"AE",15,"AE15"
"AE",16,"AE16"
"AE",17,"AE17"
"AE",18,"AE18"
"AE",19,"AE19"
"AE",20,"AE20"
"AE",21,"AE21"
"AE",22,"AE22"
"AE",23,"AE23"
"AE",24,"AE24"
"AE",25,"AE25"
"AE",26,"AE26"
"AE",27,"AE27"
"AE",28,"AE28"
"AE",29,"AE29"
"AE",30,"AE30"
"AE",31,"AE31"
"AE",32,"AE32"
"AE",33,"AE33"
"AE",34,"AE34"
"AE",35,"AE35"
"AE",36,"AE36"
"AE",37,"AE37"
"AE",38,"AE38"
"AE",39,"AE39"
"AE",40,"AE40"
"AE",41,"AE41"
"AE",42,"AE42"
"AF",1,"AF1"
"AF",2,"AF2"
"AF",3,"AF3"
"AF",4,"AF4"
"AF",5,"AF5"
"AF",6,"AF6"
"AF",7,"AF7"
"AF",8,"AF8"
"AF",9,"AF9"
"AF",10,"AF10"
"AF",11,"AF11"
"AF",12,"AF12"
"AF",13,"AF13"
"AF",14,"AF14"
"AF",15,"AF15"
"AF",16,"AF16"
"AF",17,"AF17"
"AF",18,"AF18"
"AF",19,"AF19"
"AF",20,"AF20"
"AF",21,"AF21"
"AF",22,"AF22"
"AF",23,"AF23"
"AF",24,"AF24"
"AF",25,"AF25"
"AF",26,"AF26"
"AF",27,"AF27"
"AF",28,"AF28"
"AF",29,"AF29"
"AF",30,"AF30"
"AF",31,"AF31"
"AF",32,"AF32"
"AF",33,"AF33"
"AF",34,"AF34"
"AF",35,"AF35"
"AF",36,"AF36"
"AF",37,"AF37"
"AF",38,"AF38"
"AF",39,"AF39"
"AF",40,"AF40"
"AF",41,"AF41"
"AF",42,"AF42"
"AG",1,"AG1"
"AG",2,"AG2"
"AG",3,"AG3"
"AG",4,"AG4"
"AG",5,"AG5"
"AG",6,"AG6"
"AG",7,"AG7"
"AG",8,"AG8"
"AG",9,"AG9"
"AG",10,"AG10"
"AG",11,"AG11"
"AG",12,"AG12"
"AG",13,"AG13"
"AG",14,"AG14"
"AG",15,"AG15"
"AG",16,"AG16"
"AG",17,"AG17"
"AG",18,"AG18"
"AG",19,"AG19"
"AG",20,"AG20"
"AG",21,"AG21"
"AG",22,"AG22"
"AG",23,"AG23"
"AG",24,"AG24"
"AG",25,"AG25"
"AG",26,"AG26"
"AG",27,"AG27"
"AG",28,"AG28"
"AG",29,"AG29"
"AG",30,"AG30"
"AG",31,"AG31"
"AG",32,"AG32"
"AG",33,"AG33"
"AG",34,"AG34"
"AG",35,"AG35"
"AG",36,"AG36"
"AG",37,"AG37"
"AG",38,"AG38"
"AG",39,"AG39"
"AG",40,"AG40"
"AG",41,"AG41"
"AG",42,"AG42"
"AH",1,"AH1"
"AH",2,"AH2"
"AH",3,"AH3"
"AH",4,"AH4"
"AH",5,"AH5"
"AH",6,"AH6"
"AH",7,"AH7"
"AH",8,"AH8"
"AH",9,"AH9"
"AH",10,"AH10"
"AH",11,"AH11"
"AH",12,"AH12"
"AH",13,"AH13"
"AH",14,"AH14"
"AH",15,"AH15"
"AH",16,"AH16"
"AH",17,"AH17"
"AH",18,"AH18"
"AH",19,"AH19"
"AH",20,"AH20"
"AH",21,"AH21"
"AH",22,"AH22"
"AH",23,"AH23"
"AH",24,"AH24"
"AH",25,"AH25"
"AH",26,"AH26"
"AH",27,"AH27"
"AH",28,"AH28"
"AH",29,"AH29"
"AH",30,"AH30"
"AH",31,"AH31"
"AH",32,"AH32"
"AH",33,"AH33"
"AH",34,"AH34"
"AH",35,"AH35"
"AH",36,"AH36"
"AH",37,"AH37"
"AH",38,"AH38"
"AH",39,"AH39"
"AH",40,"AH40"
"AH",41,"AH41"
"AH",42,"AH42"
"AI",1,"AI1"
"AI",2,"AI2"
"AI",3,"AI3"
"AI",4,"AI4"
"AI",5,"AI5"
"AI",6,"AI6"
"AI",7,"AI7"
"AI",8,"AI8"
"AI",9,"AI9"
"AI",10,"AI10"
"AI",11,"AI11"
"AI",12,"AI12"
"AI",13,"AI13"
"AI",14,"AI14"
"AI",15,"AI15"
"AI",16,"AI16"
"AI",17,"AI17"
"AI",18,"AI18"
"AI",19,"AI19"
"AI",20,"AI20"
"AI",21,"AI21"
"AI",22,"AI22"
"AI",23,"AI23"
"AI",24,"AI24"
"AI",25,"AI25"
"AI",26,"AI26"
"AI",27,"AI27"
"AI",28,"AI28"
"AI",29,"AI29"
"AI",30,"AI30"
"AI",31,"AI31"
"AI",32,"AI32"
"AI",33,"AI33"
"AI",34,"AI34"
"AI",35,"AI35"
"AI",36,"AI36"
"AI",37,"AI37"
"AI",38,"AI38"
"AI",39,"AI39"
"AI",40,"AI40"
"AI",41,"AI41"
"AI",42,"AI42"
"AJ",1,"AJ1"
"AJ",2,"AJ2"
"AJ",3,"AJ3"
"AJ",4,"AJ4"
"AJ",5,"AJ5"
"AJ",6,"AJ6"
"AJ",7,"AJ7"
"AJ",8,"AJ8"
"AJ",9,"AJ9"
"AJ",10,"AJ10"
"AJ",11,"AJ11"
"AJ",12,"AJ12"
"AJ",13,"AJ13"
"AJ",14,"AJ14"
"AJ",15,"AJ15"
"AJ",16,"AJ16"
"AJ",17,"AJ17"
"AJ",18,"AJ18"
"AJ",19,"AJ19"
"AJ",20,"AJ20"
"AJ",21,"AJ21"
"AJ",22,"AJ22"
"AJ",23,"AJ23"
"AJ",24,"AJ24"
"AJ",25,"AJ25"
"AJ",26,"AJ26"
"AJ",27,"AJ27"
"AJ",28,"AJ28"
"AJ",29,"AJ29"
"AJ",30,"AJ30"
"AJ",31,"AJ31"
"AJ",32,"AJ32"
"AJ",33,"AJ33"
"AJ",34,"AJ34"
"AJ",35,"AJ35"
"AJ",36,"AJ36"
"AJ",37,"AJ37"
"AJ",38,"AJ38"
"AJ",39,"AJ39"
"AJ",40,"AJ40"
"AJ",41,"AJ41"
"AJ",42,"AJ42"
"AK",1,"AK1"
"AK",2,"AK2"
"AK",3,"AK3"
"AK",4,"AK4"
"AK",5,"AK5"
"AK",6,"AK6"
"AK",7,"AK7"
"AK",8,"AK8"
"AK",9,"AK9"
"AK",10,"AK10"
"AK",11,"AK11"
"AK",12,"AK12"
"AK",13,"AK13"
"AK",14,"AK14"
"AK",15,"AK15"
"AK",16,"AK16"
"AK",17,"AK17"
"AK",18,"AK18"
"AK",19,"AK19"
"AK",20,"AK20"
"AK",21,"AK21"
"AK",22,"AK22"
"AK",23,"AK23"
"AK",24,"AK24"
"AK",25,"AK25"
"AK",26,"AK26"
"AK",27,"AK27"
"AK",28,"AK28"
"AK",29,"AK29"
"AK",30,"AK30"
"AK",31,"AK31"
"AK",32,"AK32"
"AK",33,"AK33"
"AK",34,"AK34"
"AK",35,"AK35"
"AK",36,"AK36"
"AK",37,"AK37"
"AK",38,"AK38"
"AK",39,"AK39"
"AK",40,"AK40"
"AK",41,"AK41"
"AK",42,"AK42"
"AL",1,"AL1"
"AL",2,"AL2"
"AL",3,"AL3"
"AL",4,"AL4"
"AL",5,"AL5"
"AL",6,"AL6"
"AL",7,"AL7"
"AL",8,"AL8"
"AL",9,"AL9"
"AL",10,"AL10"
"AL",11,"AL11"
"AL",12,"AL12"
"AL",13,"AL13"
"AL",14,"AL14"
"AL",15,"AL15"
"AL",16,"AL16"
"AL",17,"AL17"
"AL",18,"AL18"
"AL",19,"AL19"
"AL",20,"AL20"
"AL",21,"AL21"
"AL",22,"AL22"
"AL",23,"AL23"
"AL",24,"AL24"
"AL",25,"AL25"
"AL",26,"AL26"
"AL",27,"AL27"
"AL",28,"AL28"
"AL",29,"AL29"
"AL",30,"AL30"
"AL",31,"AL31"
"AL",32,"AL32"
"AL",33,"AL33"
"AL",34,"AL34"
"AL",35,"AL35"
"AL",36,"AL36"
"AL",37,"AL37"
"AL",38,"AL38"
"AL",39,"AL39"
"AL",40,"AL40"
"AL",41,"AL41"
"AL",42,"AL42"